2025-05-01 18:49:53,Btc,BUY,4.3178,28515.44
2025-05-01 18:49:57,Btc,BUY,3.5085,28502.17
2025-05-01 18:50:01,Btc,BUY,3.5031,28545.88
2025-05-01 18:50:09,Btc,BUY,0.0032,28550.15
2025-05-01 19:26:39,Btc,SELL,1.0000,28510.42
2025-05-01 19:27:01,Eth,SELL,9.0000,1800.00
2025-05-01 19:27:22,Eth,SELL,90.0000,1812.10
2025-05-01 19:46:16,Btc,Buy,23.0000,28500.23
2025-05-01 19:46:20,Btc,Buy,1232.0000,28530.80
2025-05-01 19:46:32,Eth,Buy,123.0000,1805.22
2025-05-01 19:46:40,Solana,Buy,231.0000,22.15
2025-05-01 19:47:05,Eth,Buy,123.0000,1805.22
2025-05-01 19:47:23,Btc,Buy,8.0000,28520.56
2025-05-01 19:47:27,Eth,Buy,8.0000,1800.55
2025-05-01 19:47:31,Solana,Buy,3.0000,22.15
2025-05-01 19:47:55,Btc,Buy,12.0000,28505.33
2025-05-01 19:48:54,Btc,Buy,123.0000,28550.15
2025-05-01 23:04:50,Btc,Sell,1.0000,28510.42
2025-05-01 23:04:53,Btc,Sell,23.0000,28530.80
2025-05-03 18:35:29,Eth,Buy,1.0000,1805.22
2025-05-03 18:35:49,Btc,Buy,14.0000,28530.80
2025-05-04 13:33:51,Btc,Buy,30.0000,28495.70
2025-05-04 13:34:10,Btc,Sell,30.0000,28500.23
2025-05-09 19:39:44,Solana,Buy (Limit),1.0000,22.05
2025-05-09 19:43:14,Solana,Buy (Limit),1.0000,22.05
2025-05-09 19:43:23,Solana,Sell (Limit),1.0000,22.45
2025-05-09 19:43:53,Solana,Buy (Limit),1.0000,22.10
2025-05-09 19:44:10,Solana,Sell (Limit),1.0000,22.50
2025-05-09 19:44:54,Solana,Buy (Limit),1.0000,22.20
2025-05-09 19:45:18,Solana,Sell (Limit),1.0000,22.35
2025-05-09 20:05:02,Solana,Buy (Limit),1.0000,22.05
2025-05-09 20:05:19,Solana,Sell (Limit),1.0000,22.15
2025-05-09 20:05:38,Solana,Buy (Limit),1.0000,22.10
2025-05-09 20:10:48,Solana,Buy (Limit),1.0000,22.10
2025-05-09 20:10:57,Solana,Sell (Limit),1.0000,22.40
2025-05-09 20:11:15,Solana,Buy (Limit),1.0000,22.10
2025-05-09 20:12:14,Solana,Buy (Limit),1.0000,22.10
2025-05-11 14:24:23,Btc,Buy (Limit),1.0000,103440.34
2025-05-11 14:24:44,Btc,Sell (Limit),1.0000,103470.12
2025-05-11 14:25:12,Btc,Buy (Limit),1.0000,103448.90
2025-05-11 14:25:53,Btc,Buy (Limit),1.0000,103450.34
2025-05-11 14:25:57,Btc,Sell (Limit),1.0000,103550.00
2025-05-11 14:26:09,Btc,Buy (Limit),1.0000,103490.34
2025-05-11 16:23:06,Btc,Buy,1.0000,103475.90
2025-05-11 16:23:11,Btc,Sell,3.0000,103460.56
2025-05-11 16:23:14,Btc,Sell,3.0000,103458.23
2025-05-11 16:23:17,Btc,Sell,12.0000,103485.67
2025-05-14 15:58:46,Btc,Sell,1.0000,103475.90
2025-05-15 10:59:42,Btc,Buy,10.0000,103475.45
2025-05-15 11:00:12,Btc,Sell,10.0000,103455.23
2025-05-15 23:58:18,Btc,Buy,1.0000,103475.90
2025-05-15 23:58:29,Btc,Sell,1.0000,103478.90
2025-06-29 13:59:19,Btc,Sell,1.0000,103460.56
2025-06-29 13:59:24,Btc,Sell,10.0000,103485.67
2025-06-29 13:59:46,Btc,Sell,1000.0000,103480.45
2025-07-31 13:32:13,Btc,Buy,1.0000,103499.34
2025-07-31 13:32:19,Btc,Sell,1.0000,103480.67
2025-07-31 13:33:07,Eth,Buy,1.0000,2407.60
2025-07-31 13:33:12,Eth,Sell,1.0000,2412.34
2025-08-05 16:20:32,Eth,Buy,1.0000,2408.50
